animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type_string,positive_negative
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mammal,-1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal,-1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish,-1
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mammal,-1
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,-1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal,-1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal,-1
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,Fish,-1
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish,-1
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,Mammal,-1
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,-1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird,1
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish,-1
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Invertebrate,-1
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,Invertebrate,-1
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrate,-1
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Bird,1
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal,-1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish,-1
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mammal,-1
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird,1
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,Bird,1
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal,-1
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,Bird,1
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bug,-1
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,Amphibian,-1
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Mammal,-1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal,-1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,Mammal,-1
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug,-1
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal,-1
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,Mammal,-1
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird,1
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish,-1
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,Mammal,-1
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mammal,-1
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Bird,1
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish,-1
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,Bug,-1
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug,-1
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,Bird,1
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,Bug,-1
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird,1
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,-1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,-1
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrate,-1
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,-1
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,Mammal,-1
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mammal,-1
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,-1
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug,-1
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,Amphibian,-1
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,Invertebrate,-1
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mammal,-1
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal,-1
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,Bird,1
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird,1
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,Bird,1
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird,1
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish,-1
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish,-1
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,Reptile,-1
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,Mammal,-1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,-1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal,-1
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mammal,-1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,-1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,Mammal,-1
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,-1
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal,-1
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,Bird,1
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,Invertebrate,-1
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish,-1
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,Mammal,-1
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,Mammal,-1
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,Reptile,-1
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Invertebrate,-1
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird,1
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird,1
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,Reptile,-1
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrate,-1
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish,-1
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird,1
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,Mammal,-1
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,Invertebrate,-1
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,Fish,-1
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,Bird,1
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bug,-1
,,,,,,,,,,,,,,,,,,

